"Project Name","URL","ML libraries","Number of Contributors","Number of Stars"
"charlesq34/pointnet2","https://github.com/charlesq34/pointnet2.git","sklearn,tensorflow","3","1522"
"qq547276542/Agriculture_KnowledgeGraph","https://github.com/qq547276542/Agriculture_KnowledgeGraph.git","sklearn,tensorflow","3","2142"
"r9y9/wavenet_vocoder","https://github.com/r9y9/wavenet_vocoder.git","sklearn,torch","10","1376"
"NifTK/NiftyNet","https://github.com/NifTK/NiftyNet.git","torch,keras,tensorflow","41","1150"
"kenshohara/3D-ResNets-PyTorch","https://github.com/kenshohara/3D-ResNets-PyTorch.git","torch","5","2012"
"kkroening/ffmpeg-python","https://github.com/kkroening/ffmpeg-python.git","tensorflow","14","2110"
"Microsoft/human-pose-estimation.pytorch","https://github.com/Microsoft/human-pose-estimation.pytorch.git","torch","11","1795"
"layumi/Person_reID_baseline_pytorch","https://github.com/layumi/Person_reID_baseline_pytorch.git","torch","3","1920"
"openai/finetune-transformer-lm","https://github.com/openai/finetune-transformer-lm.git","sklearn,tensorflow","3","1470"
"asyml/texar","https://github.com/asyml/texar.git","sklearn,torch,tensorflow","27","1860"
"google-research/batch-ppo","https://github.com/google-research/batch-ppo.git","tensorflow","13","915"
"numenta/NAB","https://github.com/numenta/NAB.git","sklearn","25","1049"
"crownpku/Information-Extraction-Chinese","https://github.com/crownpku/Information-Extraction-Chinese.git","sklearn,tensorflow","5","1484"
"bethgelab/foolbox","https://github.com/bethgelab/foolbox.git","caffe,theano,keras,tensorflow,torch","24","1393"
"cornellius-gp/gpytorch","https://github.com/cornellius-gp/gpytorch.git","torch","44","1878"
"jiesutd/NCRFpp","https://github.com/jiesutd/NCRFpp.git","torch","7","1476"
"facebookresearch/SentEval","https://github.com/facebookresearch/SentEval.git","sklearn,torch,tensorflow","10","1304"
"joeddav/devol","https://github.com/joeddav/devol.git","sklearn,keras,tensorflow","8","900"
"Cloud-CV/Fabrik","https://github.com/Cloud-CV/Fabrik.git","keras,caffe,tensorflow","44","1057"
